"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"South Dublin 03/013";14;16;6;10
"South Dublin 03/013";15;15;10;5
"South Dublin 03/013";16;18;12;6
"South Dublin 03/013";17;11;5;6
"South Dublin 03/013";18;12;8;4
"South Dublin 03/013";"19+";605;288;317
"South Dublin 03/013";"Total";840;417;423
"South Dublin 03/014";0;9;3;6
"South Dublin 03/014";1;14;7;7
"South Dublin 03/014";2;10;5;5
"South Dublin 03/014";3;6;4;2
"South Dublin 03/014";4;8;3;5
"South Dublin 03/014";5;8;5;3
"South Dublin 03/014";6;10;5;5
"South Dublin 03/014";7;8;4;4
"South Dublin 03/014";8;9;6;3
"South Dublin 03/014";9;4;1;3
"South Dublin 03/014";10;7;4;3
"South Dublin 03/014";11;8;2;6
"South Dublin 03/014";12;14;9;5
"South Dublin 03/014";13;5;2;3
"South Dublin 03/014";14;11;7;4
"South Dublin 03/014";15;12;7;5
"South Dublin 03/014";16;12;8;4
"South Dublin 03/014";17;12;5;7
"South Dublin 03/014";18;14;6;8
"South Dublin 03/014";"19+";803;379;424
"South Dublin 03/014";"Total";984;472;512
"South Dublin 03/015";0;8;5;3
"South Dublin 03/015";1;6;2;4
"South Dublin 03/015";2;8;4;4
"South Dublin 03/015";3;6;3;3
"South Dublin 03/015";4;10;6;4
"South Dublin 03/015";5;8;3;5
"South Dublin 03/015";6;7;5;2
"South Dublin 03/015";7;11;6;5
"South Dublin 03/015";8;8;4;4
"South Dublin 03/015";9;8;5;3
"South Dublin 03/015";10;7;2;5
"South Dublin 03/015";11;7;3;4
"South Dublin 03/015";12;10;5;5
"South Dublin 03/015";13;8;6;2
"South Dublin 03/015";14;7;3;4
"South Dublin 03/015";15;17;8;9
"South Dublin 03/015";16;13;4;9
"South Dublin 03/015";17;16;6;10
"South Dublin 03/015";18;15;7;8
"South Dublin 03/015";"19+";648;310;338
"South Dublin 03/015";"Total";828;397;431
"South Dublin 03/016";0;4;4;0
"South Dublin 03/016";1;10;7;3
"South Dublin 03/016";2;11;5;6
"South Dublin 03/016";3;10;7;3
"South Dublin 03/016";4;9;5;4
"South Dublin 03/016";5;11;5;6
"South Dublin 03/016";6;17;7;10
"South Dublin 03/016";7;14;6;8
"South Dublin 03/016";8;12;7;5
"South Dublin 03/016";9;11;5;6
"South Dublin 03/016";10;17;6;11
"South Dublin 03/016";11;24;15;9
"South Dublin 03/016";12;16;9;7
"South Dublin 03/016";13;19;8;11
"South Dublin 03/016";14;17;8;9
"South Dublin 03/016";15;26;17;9
"South Dublin 03/016";16;30;15;15
"South Dublin 03/016";17;24;14;10
"South Dublin 03/016";18;33;18;15
"South Dublin 03/016";"19+";837;390;447
"South Dublin 03/016";"Total";1152;558;594
"South Dublin 03/017";0;9;3;6
"South Dublin 03/017";1;14;7;7
"South Dublin 03/017";2;14;7;7
"South Dublin 03/017";3;12;6;6
"South Dublin 03/017";4;12;5;7
"South Dublin 03/017";5;12;3;9
"South Dublin 03/017";6;10;6;4
"South Dublin 03/017";7;10;4;6
"South Dublin 03/017";8;15;7;8
"South Dublin 03/017";9;14;6;8
"South Dublin 03/017";10;10;3;7
"South Dublin 03/017";11;15;6;9
"South Dublin 03/017";12;9;5;4
"South Dublin 03/017";13;12;6;6
"South Dublin 03/017";14;9;5;4
"South Dublin 03/017";15;7;3;4
"South Dublin 03/017";16;10;7;3
"South Dublin 03/017";17;12;5;7
"South Dublin 03/017";18;11;9;2
"South Dublin 03/017";"19+";743;345;398
"South Dublin 03/017";"Total";960;448;512
"South Dublin 03/018";0;12;6;6
"South Dublin 03/018";1;17;6;11
"South Dublin 03/018";2;8;4;4
"South Dublin 03/018";3;12;7;5
"South Dublin 03/018";4;12;8;4
"South Dublin 03/018";5;9;3;6
"South Dublin 03/018";6;10;4;6
"South Dublin 03/018";7;18;3;15
"South Dublin 03/018";8;5;1;4
"South Dublin 03/018";9;14;9;5
"South Dublin 03/018";10;13;4;9
"South Dublin 03/018";11;18;8;10
"South Dublin 03/018";12;13;7;6
"South Dublin 03/018";13;19;10;9
"South Dublin 03/018";14;22;9;13
"South Dublin 03/018";15;18;10;8
"South Dublin 03/018";16;22;11;11
"South Dublin 03/018";17;19;6;13
"South Dublin 03/018";18;25;13;12
"South Dublin 03/018";"19+";741;353;388
"South Dublin 03/018";"Total";1027;482;545
"South Dublin 03/019";0;11;4;7
"South Dublin 03/019";1;10;5;5
"South Dublin 03/019";2;9;3;6
"South Dublin 03/019";3;17;8;9
"South Dublin 03/019";4;16;7;9
"South Dublin 03/019";5;11;6;5
"South Dublin 03/019";6;15;10;5
"South Dublin 03/019";7;12;7;5
"South Dublin 03/019";8;6;3;3
"South Dublin 03/019";9;11;7;4
"South Dublin 03/019";10;12;5;7
"South Dublin 03/019";11;15;9;6
"South Dublin 03/019";12;20;10;10
"South Dublin 03/019";13;24;15;9
"South Dublin 03/019";14;22;13;9
"South Dublin 03/019";15;17;6;11
"South Dublin 03/019";16;21;13;8
"South Dublin 03/019";17;17;7;10
"South Dublin 03/019";18;17;4;13
"South Dublin 03/019";"19+";665;320;345
"South Dublin 03/019";"Total";948;462;486
"South Dublin 03/020";0;9;5;4
"South Dublin 03/020";1;14;5;9
"South Dublin 03/020";2;6;4;2
"South Dublin 03/020";3;11;6;5
"South Dublin 03/020";4;11;3;8
"South Dublin 03/020";5;10;5;5
"South Dublin 03/020";6;9;5;4
"South Dublin 03/020";7;13;8;5
"South Dublin 03/020";8;19;14;5
"South Dublin 03/020";9;12;5;7
"South Dublin 03/020";10;22;15;7
"South Dublin 03/020";11;18;11;7
"South Dublin 03/020";12;15;6;9
"South Dublin 03/020";13;15;9;6
"South Dublin 03/020";14;22;11;11
"South Dublin 03/020";15;19;8;11
"South Dublin 03/020";16;20;9;11
"South Dublin 03/020";17;15;8;7
"South Dublin 03/020";18;26;13;13
"South Dublin 03/020";"19+";803;385;418
"South Dublin 03/020";"Total";1089;535;554
"South Dublin 03/021";0;7;3;4
"South Dublin 03/021";1;9;5;4
"South Dublin 03/021";2;5;1;4
"South Dublin 03/021";3;8;4;4
"South Dublin 03/021";4;11;5;6
"South Dublin 03/021";5;4;2;2
"South Dublin 03/021";6;15;6;9
"South Dublin 03/021";7;15;5;10
"South Dublin 03/021";8;12;4;8
"South Dublin 03/021";9;10;7;3
"South Dublin 03/021";10;11;5;6
"South Dublin 03/021";11;11;8;3
"South Dublin 03/021";12;12;8;4
"South Dublin 03/021";13;7;2;5
"South Dublin 03/021";14;12;9;3
"South Dublin 03/021";15;7;4;3
"South Dublin 03/021";16;12;6;6
"South Dublin 03/021";17;14;6;8
"South Dublin 03/021";18;23;10;13
"South Dublin 03/021";"19+";903;448;455
"South Dublin 03/021";"Total";1108;548;560
"South Dublin 03/022";0;4;2;2
"South Dublin 03/022";1;4;1;3
"South Dublin 03/022";2;11;6;5
"South Dublin 03/022";3;10;5;5
"South Dublin 03/022";4;9;4;5
"South Dublin 03/022";5;7;2;5
"South Dublin 03/022";6;7;4;3
"South Dublin 03/022";7;8;5;3
"South Dublin 03/022";8;7;2;5
"South Dublin 03/022";9;6;3;3
"South Dublin 03/022";10;9;4;5
"South Dublin 03/022";11;10;5;5
"South Dublin 03/022";12;10;4;6
"South Dublin 03/022";13;8;4;4
"South Dublin 03/022";14;13;4;9
"South Dublin 03/022";15;13;9;4
"South Dublin 03/022";16;13;6;7
"South Dublin 03/022";17;15;12;3
"South Dublin 03/022";18;11;3;8
"South Dublin 03/022";"19+";754;352;402
"South Dublin 03/022";"Total";929;437;492
"South Dublin 03/023";0;16;7;9
"South Dublin 03/023";1;15;6;9
"South Dublin 03/023";2;15;8;7
"South Dublin 03/023";3;8;5;3
"South Dublin 03/023";4;11;6;5
"South Dublin 03/023";5;4;3;1
"South Dublin 03/023";6;5;2;3
"South Dublin 03/023";7;5;3;2
"South Dublin 03/023";8;10;3;7
"South Dublin 03/023";9;6;3;3
"South Dublin 03/023";10;9;4;5
"South Dublin 03/023";11;6;5;1
"South Dublin 03/023";12;7;4;3
"South Dublin 03/023";13;19;8;11
"South Dublin 03/023";14;10;3;7
"South Dublin 03/023";15;11;6;5
"South Dublin 03/023";16;16;10;6
"South Dublin 03/023";17;9;6;3
"South Dublin 03/023";18;14;5;9
"South Dublin 03/023";"19+";884;429;455
"South Dublin 03/023";"Total";1080;526;554
"South Dublin 03/024";0;9;3;6
"South Dublin 03/024";1;7;4;3
"South Dublin 03/024";2;10;6;4
"South Dublin 03/024";3;6;2;4
"South Dublin 03/024";4;10;4;6
"South Dublin 03/024";5;7;1;6
"South Dublin 03/024";6;8;5;3
"South Dublin 03/024";7;6;4;2
"South Dublin 03/024";8;8;3;5
"South Dublin 03/024";9;11;8;3
"South Dublin 03/024";10;9;4;5
"South Dublin 03/024";11;11;5;6
"South Dublin 03/024";12;13;8;5
"South Dublin 03/024";13;13;9;4
"South Dublin 03/024";14;18;10;8
"South Dublin 03/024";15;18;13;5
"South Dublin 03/024";16;21;10;11
"South Dublin 03/024";17;24;10;14
"South Dublin 03/024";18;21;10;11
"South Dublin 03/024";"19+";896;435;461
"South Dublin 03/024";"Total";1126;554;572
"South Dublin 03/025";0;9;1;8
"South Dublin 03/025";1;5;3;2
"South Dublin 03/025";2;9;9;0
"South Dublin 03/025";3;9;5;4
"South Dublin 03/025";4;8;1;7
"South Dublin 03/025";5;7;4;3
"South Dublin 03/025";6;9;5;4
"South Dublin 03/025";7;17;6;11
"South Dublin 03/025";8;11;7;4
"South Dublin 03/025";9;15;8;7
"South Dublin 03/025";10;11;9;2
"South Dublin 03/025";11;18;8;10
"South Dublin 03/025";12;19;13;6
"South Dublin 03/025";13;11;7;4
"South Dublin 03/025";14;21;11;10
"South Dublin 03/025";15;13;10;3
"South Dublin 03/025";16;19;13;6
"South Dublin 03/025";17;29;15;14
"South Dublin 03/025";18;23;16;7
"South Dublin 03/025";"19+";939;457;482
"South Dublin 03/025";"Total";1202;608;594
"South Dublin 03/026";0;4;1;3
"South Dublin 03/026";1;7;4;3
"South Dublin 03/026";2;4;2;2
"South Dublin 03/026";3;6;4;2
"South Dublin 03/026";4;8;2;6
"South Dublin 03/026";5;9;5;4
"South Dublin 03/026";6;8;3;5
"South Dublin 03/026";7;8;1;7
"South Dublin 03/026";8;5;2;3
"South Dublin 03/026";9;9;8;1
"South Dublin 03/026";10;12;6;6
"South Dublin 03/026";11;11;5;6
"South Dublin 03/026";12;11;7;4
"South Dublin 03/026";13;14;9;5
"South Dublin 03/026";14;14;7;7
"South Dublin 03/026";15;12;3;9
"South Dublin 03/026";16;20;9;11
"South Dublin 03/026";17;17;10;7
"South Dublin 03/026";18;24;13;11
"South Dublin 03/026";"19+";903;447;456
"South Dublin 03/026";"Total";1106;548;558
"South Dublin 03/027";0;4;2;2
"South Dublin 03/027";1;8;4;4
"South Dublin 03/027";2;7;6;1
"South Dublin 03/027";3;14;8;6
"South Dublin 03/027";4;12;6;6
"South Dublin 03/027";5;11;3;8
"South Dublin 03/027";6;10;5;5
"South Dublin 03/027";7;12;7;5
"South Dublin 03/027";8;17;7;10
"South Dublin 03/027";9;14;9;5
"South Dublin 03/027";10;10;4;6
"South Dublin 03/027";11;12;7;5
"South Dublin 03/027";12;19;10;9
"South Dublin 03/027";13;11;5;6
"South Dublin 03/027";14;17;8;9
"South Dublin 03/027";15;18;11;7
"South Dublin 03/027";16;7;4;3
"South Dublin 03/027";17;12;4;8
"South Dublin 03/027";18;15;11;4
"South Dublin 03/027";"19+";694;337;357
"South Dublin 03/027";"Total";924;458;466
"South Dublin 03/028";0;5;2;3
"South Dublin 03/028";1;5;2;3
"South Dublin 03/028";2;8;5;3
"South Dublin 03/028";3;11;8;3
"South Dublin 03/028";4;7;4;3
"South Dublin 03/028";5;8;6;2
"South Dublin 03/028";6;16;6;10
"South Dublin 03/028";7;8;2;6
"South Dublin 03/028";8;11;8;3
"South Dublin 03/028";9;8;5;3
"South Dublin 03/028";10;11;4;7
"South Dublin 03/028";11;14;7;7
"South Dublin 03/028";12;11;5;6
"South Dublin 03/028";13;9;8;1
"South Dublin 03/028";14;7;4;3
"South Dublin 03/028";15;14;11;3
"South Dublin 03/028";16;5;2;3
"South Dublin 03/028";17;17;9;8
"South Dublin 03/028";18;15;8;7
"South Dublin 03/028";"19+";590;289;301
"South Dublin 03/028";"Total";780;395;385
"South Dublin 03/029";0;21;4;17
"South Dublin 03/029";1;12;9;3
"South Dublin 03/029";2;15;9;6
"South Dublin 03/029";3;7;3;4
"South Dublin 03/029";4;11;2;9
"South Dublin 03/029";5;12;10;2
"South Dublin 03/029";6;7;5;2
"South Dublin 03/029";7;13;10;3
"South Dublin 03/029";8;12;7;5
"South Dublin 03/029";9;14;5;9
"South Dublin 03/029";10;8;6;2
"South Dublin 03/029";11;8;4;4
"South Dublin 03/029";12;11;7;4
"South Dublin 03/029";13;13;9;4
"South Dublin 03/029";14;14;8;6
"South Dublin 03/029";15;17;9;8
"South Dublin 03/029";16;9;2;7
"South Dublin 03/029";17;10;9;1
"South Dublin 03/029";18;12;7;5
"South Dublin 03/029";"19+";720;341;379
"South Dublin 03/029";"Total";946;466;480
"South Dublin 03/030";0;6;5;1
"South Dublin 03/030";1;10;4;6
"South Dublin 03/030";2;9;6;3
"South Dublin 03/030";3;10;7;3
"South Dublin 03/030";4;7;5;2
"South Dublin 03/030";5;6;2;4
"South Dublin 03/030";6;5;3;2
"South Dublin 03/030";7;5;3;2
"South Dublin 03/030";8;3;1;2
"South Dublin 03/030";9;4;1;3
"South Dublin 03/030";10;7;4;3
"South Dublin 03/030";11;1;0;1
"South Dublin 03/030";12;1;0;1
"South Dublin 03/030";13;3;2;1
"South Dublin 03/030";14;10;5;5
"South Dublin 03/030";15;3;1;2
"South Dublin 03/030";16;8;5;3
"South Dublin 03/030";17;4;0;4
"South Dublin 03/030";18;12;7;5
"South Dublin 03/030";"19+";624;277;347
"South Dublin 03/030";"Total";738;338;400
"South Dublin 03/031";0;7;6;1
"South Dublin 03/031";1;8;7;1
"South Dublin 03/031";2;18;11;7
"South Dublin 03/031";3;10;3;7
"South Dublin 03/031";4;11;5;6
"South Dublin 03/031";5;8;2;6
"South Dublin 03/031";6;16;6;10
"South Dublin 03/031";7;8;5;3
"South Dublin 03/031";8;10;8;2
"South Dublin 03/031";9;12;7;5
"South Dublin 03/031";10;7;6;1
"South Dublin 03/031";11;9;8;1
"South Dublin 03/031";12;13;6;7
"South Dublin 03/031";13;6;4;2
"South Dublin 03/031";14;11;6;5
"South Dublin 03/031";15;14;9;5
"South Dublin 03/031";16;9;6;3
"South Dublin 03/031";17;12;8;4
"South Dublin 03/031";18;7;3;4
"South Dublin 03/031";"19+";796;365;431
"South Dublin 03/031";"Total";992;481;511
"South Dublin 03/032";0;7;3;4
"South Dublin 03/032";1;11;6;5
"South Dublin 03/032";2;8;5;3
"South Dublin 03/032";3;10;7;3
"South Dublin 03/032";4;10;5;5
"South Dublin 03/032";5;6;4;2
"South Dublin 03/032";6;9;6;3
"South Dublin 03/032";7;7;4;3
"South Dublin 03/032";8;10;6;4
"South Dublin 03/032";9;12;7;5
"South Dublin 03/032";10;6;4;2
"South Dublin 03/032";11;11;9;2
"South Dublin 03/032";12;9;4;5
"South Dublin 03/032";13;5;1;4
"South Dublin 03/032";14;9;3;6
"South Dublin 03/032";15;8;6;2
"South Dublin 03/032";16;12;5;7
"South Dublin 03/032";17;12;3;9
"South Dublin 03/032";18;14;9;5
"South Dublin 03/032";"19+";780;348;432
"South Dublin 03/032";"Total";956;445;511
"South Dublin 03/033";0;3;0;3
"South Dublin 03/033";1;7;4;3
"South Dublin 03/033";2;5;3;2
"South Dublin 03/033";3;10;5;5
"South Dublin 03/033";4;5;4;1
"South Dublin 03/033";5;10;7;3
"South Dublin 03/033";6;10;3;7
"South Dublin 03/033";7;9;3;6
"South Dublin 03/033";8;15;10;5
"South Dublin 03/033";9;7;3;4
"South Dublin 03/033";10;5;3;2
"South Dublin 03/033";11;16;8;8
"South Dublin 03/033";12;13;6;7
"South Dublin 03/033";13;12;3;9
"South Dublin 03/033";14;13;9;4
"South Dublin 03/033";15;10;6;4
"South Dublin 03/033";16;20;10;10
"South Dublin 03/033";17;13;8;5
"South Dublin 03/033";18;13;4;9
"South Dublin 03/033";"19+";742;354;388
"South Dublin 03/033";"Total";938;453;485
"South Dublin 03/034";0;9;5;4
"South Dublin 03/034";1;11;9;2
"South Dublin 03/034";2;9;5;4
"South Dublin 03/034";3;11;6;5
"South Dublin 03/034";4;7;4;3
"South Dublin 03/034";5;6;4;2
"South Dublin 03/034";6;8;6;2
"South Dublin 03/034";7;8;5;3
"South Dublin 03/034";8;4;3;1
"South Dublin 03/034";9;15;9;6
"South Dublin 03/034";10;4;4;0
"South Dublin 03/034";11;9;4;5
"South Dublin 03/034";12;11;7;4
"South Dublin 03/034";13;4;2;2
"South Dublin 03/034";14;12;7;5
"South Dublin 03/034";15;8;4;4
"South Dublin 03/034";16;5;2;3
"South Dublin 03/034";17;8;4;4
"South Dublin 03/034";18;4;3;1
"South Dublin 03/034";"19+";587;264;323
"South Dublin 03/034";"Total";740;357;383
"South Dublin 03/035";0;5;4;1
"South Dublin 03/035";1;6;2;4
"South Dublin 03/035";2;9;3;6
"South Dublin 03/035";3;7;5;2
"South Dublin 03/035";4;7;5;2
"South Dublin 03/035";5;7;3;4
"South Dublin 03/035";6;3;3;0
"South Dublin 03/035";7;6;4;2
"South Dublin 03/035";8;13;6;7
"South Dublin 03/035";9;12;6;6
"South Dublin 03/035";10;9;2;7
"South Dublin 03/035";11;12;7;5
"South Dublin 03/035";12;16;9;7
"South Dublin 03/035";13;4;3;1
"South Dublin 03/035";14;10;4;6
"South Dublin 03/035";15;19;7;12
"South Dublin 03/035";16;10;4;6
"South Dublin 03/035";17;10;7;3
"South Dublin 03/035";18;5;2;3
"South Dublin 03/035";"19+";739;345;394
"South Dublin 03/035";"Total";909;431;478
"South Dublin 03/036";0;8;5;3
"South Dublin 03/036";1;7;3;4
"South Dublin 03/036";2;7;3;4
"South Dublin 03/036";3;6;5;1
"South Dublin 03/036";4;9;3;6
"South Dublin 03/036";5;8;4;4
"South Dublin 03/036";6;9;7;2
"South Dublin 03/036";7;6;4;2
"South Dublin 03/036";8;8;3;5
"South Dublin 03/036";9;7;3;4
"South Dublin 03/036";10;7;4;3
"South Dublin 03/036";11;8;5;3
"South Dublin 03/036";12;9;6;3
"South Dublin 03/036";13;11;7;4
"South Dublin 03/036";14;12;4;8
"South Dublin 03/036";15;7;2;5
"South Dublin 03/036";16;7;3;4
"South Dublin 03/036";17;11;7;4
"South Dublin 03/036";18;10;6;4
"South Dublin 03/036";"19+";692;344;348
"South Dublin 03/036";"Total";849;428;421
"South Dublin 03/037";0;7;4;3
"South Dublin 03/037";1;8;7;1
"South Dublin 03/037";2;9;3;6
"South Dublin 03/037";3;5;2;3
"South Dublin 03/037";4;7;5;2
"South Dublin 03/037";5;5;4;1
"South Dublin 03/037";6;6;3;3
"South Dublin 03/037";7;7;5;2
"South Dublin 03/037";8;3;1;2
"South Dublin 03/037";9;4;2;2
"South Dublin 03/037";10;5;2;3
"South Dublin 03/037";11;6;3;3
"South Dublin 03/037";12;6;3;3
"South Dublin 03/037";13;4;0;4
"South Dublin 03/037";14;9;3;6
"South Dublin 03/037";15;6;4;2
"South Dublin 03/037";16;10;4;6
"South Dublin 03/037";17;7;2;5
"South Dublin 03/037";18;8;2;6
"South Dublin 03/037";"19+";730;358;372
"South Dublin 03/037";"Total";852;417;435
"South Dublin 03/038";0;10;3;7
"South Dublin 03/038";1;4;1;3
"South Dublin 03/038";2;9;8;1
"South Dublin 03/038";3;11;4;7
"South Dublin 03/038";4;6;3;3
"South Dublin 03/038";5;2;1;1
"South Dublin 03/038";6;3;1;2
"South Dublin 03/038";7;10;4;6
"South Dublin 03/038";8;7;1;6
"South Dublin 03/038";9;8;4;4
"South Dublin 03/038";10;9;7;2
"South Dublin 03/038";11;8;6;2
"South Dublin 03/038";12;10;3;7
"South Dublin 03/038";13;4;3;1
"South Dublin 03/038";14;7;2;5
"South Dublin 03/038";15;3;1;2
"South Dublin 03/038";16;5;1;4
"South Dublin 03/038";17;6;1;5
"South Dublin 03/038";18;15;7;8
"South Dublin 03/038";"19+";719;353;366
"South Dublin 03/038";"Total";856;414;442
"South Dublin 03/039";0;4;2;2
"South Dublin 03/039";1;7;2;5
"South Dublin 03/039";2;10;6;4
"South Dublin 03/039";3;12;3;9
"South Dublin 03/039";4;8;5;3
"South Dublin 03/039";5;8;4;4
"South Dublin 03/039";6;8;3;5
"South Dublin 03/039";7;12;6;6
"South Dublin 03/039";8;9;6;3
"South Dublin 03/039";9;9;4;5
"South Dublin 03/039";10;7;4;3
"South Dublin 03/039";11;14;6;8
"South Dublin 03/039";12;7;2;5
"South Dublin 03/039";13;5;4;1
"South Dublin 03/039";14;13;7;6
"South Dublin 03/039";15;12;8;4
"South Dublin 03/039";16;10;3;7
"South Dublin 03/039";17;15;5;10
"South Dublin 03/039";18;11;6;5
"South Dublin 03/039";"19+";736;353;383
"South Dublin 03/039";"Total";917;439;478
"South Dublin 03/040";0;12;8;4
"South Dublin 03/040";1;12;5;7
"South Dublin 03/040";2;10;3;7
"South Dublin 03/040";3;10;4;6
"South Dublin 03/040";4;8;5;3
"South Dublin 03/040";5;11;6;5
"South Dublin 03/040";6;17;9;8
"South Dublin 03/040";7;8;5;3
"South Dublin 03/040";8;5;2;3
"South Dublin 03/040";9;7;4;3
"South Dublin 03/040";10;12;6;6
"South Dublin 03/040";11;5;3;2
"South Dublin 03/040";12;7;4;3
"South Dublin 03/040";13;9;4;5
"South Dublin 03/040";14;12;7;5
"South Dublin 03/040";15;9;1;8
"South Dublin 03/040";16;10;8;2
"South Dublin 03/040";17;10;6;4
"South Dublin 03/040";18;14;6;8
"South Dublin 03/040";"19+";820;409;411
"South Dublin 03/040";"Total";1008;505;503
"South Dublin 03/041";0;4;0;4
"South Dublin 03/041";1;7;5;2
"South Dublin 03/041";2;5;4;1
"South Dublin 03/041";3;6;4;2
"South Dublin 03/041";4;2;0;2
"South Dublin 03/041";5;14;4;10
"South Dublin 03/041";6;13;8;5
"South Dublin 03/041";7;10;7;3
"South Dublin 03/041";8;7;5;2
"South Dublin 03/041";9;14;9;5
"South Dublin 03/041";10;9;5;4
"South Dublin 03/041";11;6;3;3
"South Dublin 03/041";12;9;6;3
"South Dublin 03/041";13;9;7;2
"South Dublin 03/041";14;4;0;4
"South Dublin 03/041";15;8;4;4
"South Dublin 03/041";16;7;4;3
"South Dublin 03/041";17;5;1;4
"South Dublin 03/041";18;5;4;1
"South Dublin 03/041";"19+";629;301;328
"South Dublin 03/041";"Total";773;381;392
"South Dublin 03/042";0;8;3;5
"South Dublin 03/042";1;8;3;5
"South Dublin 03/042";2;11;8;3
"South Dublin 03/042";3;20;12;8
"South Dublin 03/042";4;11;3;8
"South Dublin 03/042";5;19;11;8
"South Dublin 03/042";6;16;7;9
"South Dublin 03/042";7;13;8;5
"South Dublin 03/042";8;23;9;14
"South Dublin 03/042";9;17;11;6
"South Dublin 03/042";10;15;7;8
"South Dublin 03/042";11;18;9;9
"South Dublin 03/042";12;17;10;7
"South Dublin 03/042";13;16;7;9
"South Dublin 03/042";14;23;10;13
"South Dublin 03/042";15;12;8;4
"South Dublin 03/042";16;12;6;6
"South Dublin 03/042";17;7;3;4
"South Dublin 03/042";18;11;5;6
"South Dublin 03/042";"19+";683;315;368
"South Dublin 03/042";"Total";960;455;505
"South Dublin 03/043";0;8;5;3
"South Dublin 03/043";1;11;5;6
"South Dublin 03/043";2;9;5;4
"South Dublin 03/043";3;9;5;4
"South Dublin 03/043";4;9;6;3
"South Dublin 03/043";5;4;1;3
"South Dublin 03/043";6;12;6;6
"South Dublin 03/043";7;15;8;7
"South Dublin 03/043";8;16;8;8
"South Dublin 03/043";9;16;6;10
"South Dublin 03/043";10;12;3;9
"South Dublin 03/043";11;13;10;3
"South Dublin 03/043";12;11;6;5
"South Dublin 03/043";13;15;10;5
"South Dublin 03/043";14;19;9;10
"South Dublin 03/043";15;19;11;8
"South Dublin 03/043";16;24;13;11
"South Dublin 03/043";17;20;9;11
"South Dublin 03/043";18;14;6;8
"South Dublin 03/043";"19+";836;390;446
"South Dublin 03/043";"Total";1092;522;570
"South Dublin 03/044";0;9;5;4
"South Dublin 03/044";1;9;3;6
"South Dublin 03/044";2;5;1;4
"South Dublin 03/044";3;3;0;3
"South Dublin 03/044";4;8;3;5
"South Dublin 03/044";5;12;7;5
"South Dublin 03/044";6;6;2;4
"South Dublin 03/044";7;9;4;5
"South Dublin 03/044";8;9;2;7
"South Dublin 03/044";9;10;4;6
"South Dublin 03/044";10;13;8;5
"South Dublin 03/044";11;13;8;5
"South Dublin 03/044";12;17;12;5
"South Dublin 03/044";13;13;6;7
"South Dublin 03/044";14;14;8;6
"South Dublin 03/044";15;22;14;8
"South Dublin 03/044";16;21;12;9
"South Dublin 03/044";17;16;6;10
"South Dublin 03/044";18;14;5;9
"South Dublin 03/044";"19+";770;379;391
"South Dublin 03/044";"Total";993;489;504
"South Dublin 03/045";0;8;4;4
"South Dublin 03/045";1;7;4;3
"South Dublin 03/045";2;11;6;5
"South Dublin 03/045";3;13;9;4
"South Dublin 03/045";4;9;3;6
"South Dublin 03/045";5;12;7;5
"South Dublin 03/045";6;7;4;3
"South Dublin 03/045";7;14;5;9
"South Dublin 03/045";8;12;7;5
"South Dublin 03/045";9;10;5;5
"South Dublin 03/045";10;8;7;1
"South Dublin 03/045";11;11;5;6
"South Dublin 03/045";12;15;8;7
"South Dublin 03/045";13;20;10;10
"South Dublin 03/045";14;17;5;12
"South Dublin 03/045";15;19;12;7
"South Dublin 03/045";16;17;10;7
"South Dublin 03/045";17;16;4;12
"South Dublin 03/045";18;25;15;10
"South Dublin 03/045";"19+";870;425;445
"South Dublin 03/045";"Total";1121;555;566
"South Dublin 03/046";0;11;8;3
"South Dublin 03/046";1;9;5;4
"South Dublin 03/046";2;12;7;5
"South Dublin 03/046";3;10;7;3
"South Dublin 03/046";4;11;5;6
"South Dublin 03/046";5;14;4;10
"South Dublin 03/046";6;8;4;4
"South Dublin 03/046";7;14;6;8
"South Dublin 03/046";8;12;6;6
"South Dublin 03/046";9;19;7;12
"South Dublin 03/046";10;11;5;6
"South Dublin 03/046";11;14;5;9
"South Dublin 03/046";12;16;6;10
"South Dublin 03/046";13;14;6;8
"South Dublin 03/046";14;23;7;16
